a_account_type,a_fund_seg1,master_object,master_project,master_org,account_name,department,division,cy_revised,ly_actual,ly_actual_closed,ly2_actual,object_name,character_code,character_code_name,org_name,default_year,default_period,munis_year,munis_period,fund_name,dept_name,division_name,budget_projection_used,budget_org,budget_object,budget_project,ny_budget_prelim,ny_budget_adopted,ny2_budget_prelim,ny2_budget_adopted
E,1,220000, ,551420,Retirement                    ,5,5,43890,30965.91,30965.91,24468.27,Retirement                    ,20,PERSONNEL BENEFITS,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,220000, ,46290,46290,48045,48045
E,1,220000, ,651810,Retirement                    ,5,6,25970,15861.71,15861.71,13324.8,Retirement                    ,20,PERSONNEL BENEFITS,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,220000, ,29560,29560,30855,30855
E,1,220000, ,751420,Retirement                    ,4,7,88665,59274.88,59274.88,49756.8,Retirement                    ,20,PERSONNEL BENEFITS,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,220000, ,77235,77235,77235,77235
E,1,220000, ,851880,Retirement                    ,5,8,39405,26863.42,26863.42,17887.61,Retirement                    ,20,PERSONNEL BENEFITS,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,220000, ,43160,43160,46040,46040
E,1,220000, ,1051530,Retirement                    ,6,10,38920,39668.57,39668.57,29154.85,Retirement                    ,20,PERSONNEL BENEFITS,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,220000, ,41160,41160,42375,42375
E,1,220000, ,1354190,Retirement                    ,11,13,19340,17212.77,17212.77,23061.76,Retirement                    ,20,PERSONNEL BENEFITS,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,220000, ,19375,19375,19965,19965
E,1,220000, ,1455850,Retirement                    ,13,14,77720,66669.99,66669.99,53253.79,Retirement                    ,20,PERSONNEL BENEFITS,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,220000, ,77805,77805,81325,81325
E,1,220000, ,1555860,Retirement                    ,13,15,67880,54020.76,54020.76,45383.76,Retirement                    ,20,PERSONNEL BENEFITS,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,220000, ,72900,72900,75520,75520
E,1,220000, ,1657100,Retirement                    ,14,16,165375,137268.83,137268.83,109017.03,Retirement                    ,20,PERSONNEL BENEFITS,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,220000, ,198680,198680,209515,209515
E,1,220000, ,2955720,Retirement                    ,3,29,0,0,0,0,Retirement                    ,20,PERSONNEL BENEFITS,Human Services                ,2019,1,2018,12,GENERAL,CITY MANAGER,Human Services,18,2955720,220000, ,12075,12075,12430,12430
E,1,230000, ,151160,Medical Insurance             ,1,1,0,0,0,0,Medical Insurance             ,20,PERSONNEL BENEFITS,City Council                  ,2019,1,2018,12,GENERAL,CITY COUNCIL,City Council,18,151160,230000, ,0,0,0,0
E,1,230000, ,251310,Medical Insurance             ,3,2,68215,58565.08,58565.08,35223.62,Medical Insurance             ,20,PERSONNEL BENEFITS,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,230000, ,41550,41550,42760,42760
E,1,230000, ,351310,Medical Insurance             ,5,3,0,0,0,0,Medical Insurance             ,20,PERSONNEL BENEFITS,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,230000, ,19780,19780,21205,21205
E,1,230000, ,455870,Medical Insurance             ,3,4,31955,27371.06,27371.06,43670.14,Medical Insurance             ,20,PERSONNEL BENEFITS,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,230000, ,33010,33010,34095,34095
E,1,230000, ,551420,Medical Insurance             ,5,5,63205,47089.18,47089.18,30957.58,Medical Insurance             ,20,PERSONNEL BENEFITS,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,230000, ,78985,78985,82445,82445
E,1,230000, ,651810,Medical Insurance             ,5,6,30185,10273.68,10273.68,10602.05,Medical Insurance             ,20,PERSONNEL BENEFITS,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,230000, ,31395,31395,32670,32670
E,1,230000, ,751420,Medical Insurance             ,4,7,131395,71341.13,71341.13,61432.07,Medical Insurance             ,20,PERSONNEL BENEFITS,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,230000, ,100590,100590,104015,104015
E,1,230000, ,851880,Medical Insurance             ,5,8,46905,23537.57,23537.57,20770.27,Medical Insurance             ,20,PERSONNEL BENEFITS,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,230000, ,48585,48585,50350,50350
E,1,230000, ,1051530,Medical Insurance             ,6,10,43365,52950.34,52950.34,35027.8,Medical Insurance             ,20,PERSONNEL BENEFITS,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,230000, ,45350,45350,47140,47140
E,1,230000, ,1354190,Medical Insurance             ,11,13,14175,10823.46,10823.46,19030.45,Medical Insurance             ,20,PERSONNEL BENEFITS,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,230000, ,14050,14050,14450,14450
E,1,230000, ,1455850,Medical Insurance             ,13,14,105455,93816.2,93816.2,83887.67,Medical Insurance             ,20,PERSONNEL BENEFITS,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,230000, ,99785,99785,102705,102705
E,1,230000, ,1555860,Medical Insurance             ,13,15,102905,83001.89,83001.89,69310.12,Medical Insurance             ,20,PERSONNEL BENEFITS,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,230000, ,96375,96375,99870,99870
E,1,230000, ,1657100,Medical Insurance             ,14,16,280330,227085.97,227085.97,188698.57,Medical Insurance             ,20,PERSONNEL BENEFITS,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,230000, ,341085,341085,353125,353125
E,1,230000, ,2955720,Medical Insurance             ,3,29,0,0,0,0,Medical Insurance             ,20,PERSONNEL BENEFITS,Human Services                ,2019,1,2018,12,GENERAL,CITY MANAGER,Human Services,18,2955720,230000, ,18365,18365,18915,18915
E,1,231000, ,151160,HSA Employee Benefit          ,1,1,50400,54600,54600,50400,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,City Council                  ,2019,1,2018,12,GENERAL,CITY COUNCIL,City Council,18,151160,231000, ,50400,50400,50400,50400
E,1,231000, ,251310,HSA Employee Benefit          ,3,2,0,1500,1500,3125,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,231000, ,0,0,0,0
E,1,231000, ,351310,HSA Employee Benefit          ,5,3,0,0,0,0,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,231000, ,0,0,0,0
E,1,231000, ,455870,HSA Employee Benefit          ,3,4,0,0,0,0,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,231000, ,0,0,0,0
E,1,231000, ,551420,HSA Employee Benefit          ,5,5,0,0,0,0,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,231000, ,0,0,0,0
E,1,231000, ,651810,HSA Employee Benefit          ,5,6,0,1375,1375,3000,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,231000, ,0,0,0,0
E,1,231000, ,751420,HSA Employee Benefit          ,4,7,1500,0,0,1050,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,231000, ,0,0,0,0
E,1,231000, ,851880,HSA Employee Benefit          ,5,8,1500,1437.5,1437.5,0,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,231000, ,1500,1500,1500,1500
E,1,231000, ,1051530,HSA Employee Benefit          ,6,10,0,0,0,1500,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,231000, ,0,0,0,0
E,1,231000, ,1354190,HSA Employee Benefit          ,11,13,1500,1449.86,1449.86,1562.5,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,231000, ,0,0,0,0
E,1,231000, ,1455850,HSA Employee Benefit          ,13,14,0,0,0,0,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,231000, ,1500,1500,1500,1500
E,1,231000, ,1555860,HSA Employee Benefit          ,13,15,0,0,0,0,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,231000, ,0,0,0,0
E,1,231000, ,1657100,HSA Employee Benefit          ,14,16,0,0,0,0,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,231000, ,0,0,0,0
E,1,231000, ,2955720,HSA Employee Benefit          ,3,29,0,0,0,0,HSA Employee Benefit          ,20,PERSONNEL BENEFITS,Human Services                ,2019,1,2018,12,GENERAL,CITY MANAGER,Human Services,18,2955720,231000, ,0,0,0,0
E,1,240000, ,151160,Worker's Compensation         ,1,1,105,89.04,89.04,88.2,Worker's Compensation         ,20,PERSONNEL BENEFITS,City Council                  ,2019,1,2018,12,GENERAL,CITY COUNCIL,City Council,18,151160,240000, ,105,105,105,105
E,1,240000, ,251310,Worker's Compensation         ,3,2,990,784.77,784.77,544.27,Worker's Compensation         ,20,PERSONNEL BENEFITS,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,240000, ,480,480,480,480
E,1,240000, ,351310,Worker's Compensation         ,5,3,0,0,0,0,Worker's Compensation         ,20,PERSONNEL BENEFITS,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,240000, ,360,360,360,360
E,1,240000, ,455870,Worker's Compensation         ,3,4,550,361.14,361.14,650.03,Worker's Compensation         ,20,PERSONNEL BENEFITS,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,240000, ,600,600,600,600
E,1,240000, ,551420,Worker's Compensation         ,5,5,1100,737.04,737.04,647.86,Worker's Compensation         ,20,PERSONNEL BENEFITS,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,240000, ,1200,1200,1200,1200
E,1,240000, ,651810,Worker's Compensation         ,5,6,440,256.02,256.02,191.38,Worker's Compensation         ,20,PERSONNEL BENEFITS,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,240000, ,480,480,480,480
E,1,240000, ,751420,Worker's Compensation         ,4,7,1825,1106.99,1106.99,979.75,Worker's Compensation         ,20,PERSONNEL BENEFITS,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,240000, ,1515,1515,1395,1395
E,1,240000, ,851880,Worker's Compensation         ,5,8,880,597.16,597.16,531.77,Worker's Compensation         ,20,PERSONNEL BENEFITS,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,240000, ,960,960,960,960
E,1,240000, ,1051530,Worker's Compensation         ,6,10,660,1616.72,1616.72,1531.84,Worker's Compensation         ,20,PERSONNEL BENEFITS,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,240000, ,720,720,720,720
E,1,240000, ,1252120,Worker's Compensation         ,8,12,0,17.75,17.75,38.94,Worker's Compensation         ,20,PERSONNEL BENEFITS,Police Operations             ,2019,1,2018,12,GENERAL,POLICE,Police,18,1252120,240000, ,0,0,0,0
E,1,240000, ,1354190,Worker's Compensation         ,11,13,1465,1236.41,1236.41,2466.2,Worker's Compensation         ,20,PERSONNEL BENEFITS,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,240000, ,1600,1600,1600,1600
E,1,240000, ,1455850,Worker's Compensation         ,13,14,5395,4458.53,4458.53,3883.17,Worker's Compensation         ,20,PERSONNEL BENEFITS,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,240000, ,5930,5930,5930,5930
E,1,240000, ,1555860,Worker's Compensation         ,13,15,1375,1028.64,1028.64,994.98,Worker's Compensation         ,20,PERSONNEL BENEFITS,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,240000, ,1500,1500,1500,1500
E,1,240000, ,1657100,Worker's Compensation         ,14,16,19385,14516.91,14516.91,13870.84,Worker's Compensation         ,20,PERSONNEL BENEFITS,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,240000, ,29290,29290,29290,29290
E,1,240000, ,2955720,Worker's Compensation         ,3,29,0,0,0,0,Worker's Compensation         ,20,PERSONNEL BENEFITS,Human Services                ,2019,1,2018,12,GENERAL,CITY MANAGER,Human Services,18,2955720,240000, ,240,240,240,240
E,1,250000, ,151160,Unemployment                  ,1,1,0,2.7,2.7,0,Unemployment                  ,20,PERSONNEL BENEFITS,City Council                  ,2019,1,2018,12,GENERAL,CITY COUNCIL,City Council,18,151160,250000, ,0,0,0,0
E,1,250000, ,251310,Unemployment                  ,3,2,850,755.53,755.53,1062.33,Unemployment                  ,20,PERSONNEL BENEFITS,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,250000, ,500,500,505,505
E,1,250000, ,351310,Unemployment                  ,5,3,0,0,0,0,Unemployment                  ,20,PERSONNEL BENEFITS,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,250000, ,230,230,245,245
E,1,250000, ,455870,Unemployment                  ,3,4,465,350.78,350.78,1001.26,Unemployment                  ,20,PERSONNEL BENEFITS,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,250000, ,495,495,505,505
E,1,250000, ,551420,Unemployment                  ,5,5,690,518.78,518.78,676.04,Unemployment                  ,20,PERSONNEL BENEFITS,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,250000, ,725,725,745,745
E,1,250000, ,651810,Unemployment                  ,5,6,410,266.37,266.37,357.81,Unemployment                  ,20,PERSONNEL BENEFITS,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,250000, ,460,460,480,480
E,1,250000, ,751420,Unemployment                  ,4,7,1435,1010.22,1010.22,1344.02,Unemployment                  ,20,PERSONNEL BENEFITS,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,250000, ,1205,1205,1200,1200
E,1,250000, ,851880,Unemployment                  ,5,8,620,449.16,449.16,578.9,Unemployment                  ,20,PERSONNEL BENEFITS,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,250000, ,675,675,720,720
E,1,250000, ,1051530,Unemployment                  ,6,10,610,660.3,660.3,792.62,Unemployment                  ,20,PERSONNEL BENEFITS,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,250000, ,635,635,655,655
E,1,250000, ,1354190,Unemployment                  ,11,13,305,288,288,617.19,Unemployment                  ,20,PERSONNEL BENEFITS,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,250000, ,305,305,315,315
